Year,State,Month,Total_sales
2010,AK,2,19077.75
2010,AL,2,265267.5
2010,AR,2,140887.67857142858
2010,AZ,2,171536.89285714287
2010,CA,2,679930
2010,CO,2,144656.25
2010,CT,2,88090.35714285714
2010,DC,2,32228.071428571428
2010,DE,2,34633.46428571428
2010,FL,2,617551
2010,GA,2,398196.35714285716
2010,HI,2,26105.35714285714
2010,IA,2,131567.39285714287
2010,ID,2,62323.32142857143
2010,IL,2,419940.4285714286
2010,IN,2,312390.60714285716
2010,KS,2,106851.5
2010,KY,2,299673.85714285716
2010,LA,2,236008.5357142857
2010,MA,2,170810.85714285713
2010,MD,2,196070.4642857143
2010,ME,2,32089.571428571428
2010,MI,2,286635.25
2010,MN,2,189938.39285714287
2010,MO,2,259736.25
2010,MS,2,140495.32142857142
2010,MT,2,42468.53571428572
2010,NC,2,404668.3214285714
2010,ND,2,42440.392857142855
2010,NE,2,87375.75
2010,NH,2,32779.5
2010,NJ,2,212645.75
2010,NM,2,59997.107142857145
2010,NV,2,79988.92857142857
2010,NY,2,413340.0714285714
2010,OH,2,449294.4285714286
2010,OK,2,155157.10714285713
2010,OR,2,135712.2142857143
2010,PA,2,446283.53571428574
2010,RI,2,21585.64285714286
2010,SC,2,237567.9642857143
2010,SD,2,36269.96428571428
2010,TN,2,320785.8214285714
2010,TX,2,947060.3928571428
2010,UT,2,78033.46428571429
2010,VA,2,345930.78571428574
2010,VT,2,16365.464285714286
2010,WA,2,284498.78571428574
2010,WI,2,190896.14285714287
2010,WV,2,104686
2010,WY,2,50751.53571428572
2011,AK,2,19762.5
2011,AL,2,251320.5
2011,AR,2,141962.75
2011,AZ,2,183955.67857142858
2011,CA,2,683523.25
2011,CO,2,148091.2857142857
2011,CT,2,85390.25
2011,DC,2,30604.75
2011,DE,2,35228.357142857145
2011,FL,2,575358
2011,GA,2,377368.14285714284
2011,HI,2,27515.928571428572
2011,IA,2,132360.4642857143
2011,ID,2,66555.5
2011,IL,2,414074.96428571426
2011,IN,2,308424.6785714286
2011,KS,2,114274.03571428571
2011,KY,2,268635.14285714284
2011,LA,2,250471.67857142858
2011,MA,2,166278.64285714287
2011,MD,2,184118.2142857143
2011,ME,2,32249.89285714286
2011,MI,2,288925.89285714284
2011,MN,2,201022.10714285713
2011,MO,2,250955.7857142857
2011,MS,2,143304.67857142858
2011,MT,2,43972.32142857143
2011,NC,2,366196.39285714284
2011,ND,2,44868.82142857143
2011,NE,2,89427.35714285714
2011,NH,2,33895.607142857145
2011,NJ,2,209117.9642857143
2011,NM,2,61799.28571428572
2011,NV,2,81644.96428571429
2011,NY,2,420544.10714285716
2011,OH,2,446172.64285714284
2011,OK,2,161540.92857142858
2011,OR,2,143371.17857142858
2011,PA,2,464008.10714285716
2011,RI,2,21807.821428571428
2011,SC,2,222406.25
2011,SD,2,37575.82142857143
2011,TN,2,314911
2011,TX,2,998059.6071428572
2011,UT,2,79159.21428571429
2011,VA,2,317839.39285714284
2011,VT,2,16688.75
2011,WA,2,303100.21428571426
2011,WI,2,192967.9642857143
2011,WV,2,98698.42857142857
2011,WY,2,52189.21428571428
2012,AK,2,21255.964285714286
2012,AL,2,235264.2857142857
2012,AR,2,130905.57142857143
2012,AZ,2,176846.5357142857
2012,CA,2,680370.6428571428
2012,CO,2,148056.32142857142
2012,CT,2,86271.78571428571
2012,DC,2,30011.85714285714
2012,DE,2,32799.57142857143
2012,FL,2,552853.8214285715
2012,GA,2,351474.64285714284
2012,HI,2,26883.678571428572
2012,IA,2,134246.32142857142
2012,ID,2,64953.107142857145
2012,IL,2,402825.53571428574
2012,IN,2,302958.5
2012,KS,2,105343.5
2012,KY,2,266629.96428571426
2012,LA,2,225550.82142857142
2012,MA,2,157594.7142857143
2012,MD,2,180769.60714285713
2012,ME,2,32722.678571428572
2012,MI,2,295179.39285714284
2012,MN,2,197730.35714285713
2012,MO,2,233213.7142857143
2012,MS,2,131467.5
2012,MT,2,44652.107142857145
2012,NC,2,357032.53571428574
2012,ND,2,47142.32142857143
2012,NE,2,87735.46428571429
2012,NH,2,32597.39285714286
2012,NJ,2,205135.07142857142
2012,NM,2,63291.5
2012,NV,2,84144.85714285714
2012,NY,2,404360.0714285714
2012,OH,2,448444.8214285714
2012,OK,2,153469.64285714287
2012,OR,2,143371.89285714287
2012,PA,2,438148.3214285714
2012,RI,2,21524.928571428572
2012,SC,2,211953.5357142857
2012,SD,2,36471
2012,TN,2,280873.35714285716
2012,TX,2,918888.8214285715
2012,UT,2,82604.5
2012,VA,2,311936.0714285714
2012,VT,2,16546.39285714286
2012,WA,2,308455.0714285714
2012,WI,2,196082.0357142857
2012,WV,2,98027.89285714286
2012,WY,2,52320.25
2013,AK,2,18918.10714285714
2013,AL,2,240149.25
2013,AR,2,132270.85714285713
2013,AZ,2,179857.89285714287
2013,CA,2,686161.6071428572
2013,CO,2,146207.39285714287
2013,CT,2,91433.25
2013,DC,2,30241.85714285714
2013,DE,2,36214.75
2013,FL,2,552798.0714285715
2013,GA,2,357363.53571428574
2013,HI,2,24625.25
2013,IA,2,134715.2857142857
2013,ID,2,64662.857142857145
2013,IL,2,409087
2013,IN,2,309596
2013,KS,2,105300.39285714286
2013,KY,2,265517.75
2013,LA,2,230794.92857142858
2013,MA,2,163472.85714285713
2013,MD,2,184626.92857142858
2013,ME,2,33099.607142857145
2013,MI,2,291457.78571428574
2013,MN,2,198034.82142857142
2013,MO,2,241268.10714285713
2013,MS,2,132524.64285714287
2013,MT,2,43851.46428571428
2013,NC,2,368855.85714285716
2013,ND,2,51604.03571428572
2013,NE,2,85638
2013,NH,2,35225.67857142857
2013,NJ,2,208404.57142857142
2013,NM,2,62137.392857142855
2013,NV,2,83937.67857142857
2013,NY,2,433908.03571428574
2013,OH,2,439356.53571428574
2013,OK,2,154950.35714285713
2013,OR,2,140726.07142857142
2013,PA,2,459706.60714285716
2013,RI,2,21090.214285714286
2013,SC,2,217597.89285714287
2013,SD,2,37755.21428571428
2013,TN,2,285946.96428571426
2013,TX,2,936724.8571428572
2013,UT,2,83287.92857142857
2013,VA,2,331456.64285714284
2013,VT,2,16809.214285714286
2013,WA,2,304405.53571428574
2013,WI,2,196482.92857142858
2013,WV,2,99946.39285714286
2013,WY,2,49806.107142857145
2014,AK,2,18984.75
2014,AL,2,261506.25
2014,AR,2,146698.0357142857
2014,AZ,2,170539.2857142857
2014,CA,2,668857.1071428572
2014,CO,2,145304.14285714287
2014,CT,2,94122.71428571429
2014,DC,2,31457.964285714286
2014,DE,2,35506.46428571428
2014,FL,2,607709.1428571428
2014,GA,2,386408.78571428574
2014,HI,2,25870.14285714286
2014,IA,2,146044.7857142857
2014,ID,2,63165.07142857143
2014,IL,2,429520.75
2014,IN,2,330166.78571428574
2014,KS,2,116518.46428571429
2014,KY,2,247901.0357142857
2014,LA,2,273935.21428571426
2014,MA,2,168912.32142857142
2014,MD,2,188923.32142857142
2014,ME,2,34745.142857142855
2014,MI,2,298738.25
2014,MN,2,205382.5357142857
2014,MO,2,268337.46428571426
2014,MS,2,155282.7142857143
2014,MT,2,44509
2014,NC,2,393087.39285714284
2014,ND,2,59640.5
2014,NE,2,90914.46428571429
2014,NH,2,36356.71428571428
2014,NJ,2,211622.5
2014,NM,2,62153.21428571428
2014,NV,2,82325.46428571429
2014,NY,2,453552
2014,OH,2,462448.35714285716
2014,OK,2,174370.39285714287
2014,OR,2,149417.67857142858
2014,PA,2,476664.39285714284
2014,RI,2,21301.428571428572
2014,SC,2,232622.60714285713
2014,SD,2,40719.71428571428
2014,TN,2,337548.3214285714
2014,TX,2,1074375
2014,UT,2,79824.42857142857
2014,VA,2,341230.25
2014,VT,2,16913.39285714286
2014,WA,2,308446.5714285714
2014,WI,2,207277.32142857142
2014,WV,2,102823.17857142857
2014,WY,2,52929.07142857143
2015,AK,2,19575.035714285714
2015,AL,2,265518.71428571426
2015,AR,2,137664.5
