YEAR,STATE,MONTH,COUNTS
2013,VT,10,0.064516129
2013,WA,10,1.548387097
2013,WI,10,1.516129032
2013,WV,10,1.225806452
2013,WY,10,0.193548387
2014,AK,10,0.258064516
2014,AL,10,1.774193548
2014,AR,10,1.322580645
2014,AZ,10,2.161290323
2014,CA,10,9.096774194
2014,CO,10,1.451612903
2014,CT,10,0.774193548
2014,DC,10,0
2014,DE,10,0.258064516
2014,FL,10,6.709677419
2014,GA,10,3.64516129
2014,HI,10,0.290322581
2014,IA,10,0.967741935
2014,ID,10,0.258064516
2014,IL,10,2.806451613
2014,IN,10,2.193548387
2014,KS,10,1.032258065
2014,KY,10,2.096774194
2014,LA,10,1.64516129
2014,MA,10,1.064516129
2014,MD,10,1.258064516
2014,ME,10,0.322580645
2014,MI,10,2.290322581
2014,MN,10,0.935483871
2014,MO,10,2.032258065
2014,MS,10,1.838709677
2014,MT,10,0.548387097
2014,NC,10,3.870967742
2014,ND,10,0.419354839
2014,NE,10,0.612903226
2014,NH,10,0.225806452
2014,NJ,10,1.225806452
2014,NM,10,1.161290323
2014,NV,10,0.709677419
2014,NY,10,2.935483871
2014,OH,10,2.870967742
2014,OK,10,1.870967742
2014,OR,10,1.064516129
2014,PA,10,3.096774194
2014,RI,10,0.129032258
2014,SC,10,2.677419355
2014,SD,10,0.258064516
2014,TN,10,2.709677419
2014,TX,10,10.38709677
2014,UT,10,0.870967742
2014,VA,10,2.161290323
2014,VT,10,0.096774194
2014,WA,10,0.580645161
2014,WI,10,1.225806452
2014,WV,10,0.838709677
2014,WY,10,0.290322581
2015,AK,10,0.193548387
2015,AL,10,2.677419355
2015,AR,10,1.516129032
2015,AZ,10,2.322580645
2015,CA,10,9.290322581
2015,CO,10,1.451612903
2015,CT,10,0.935483871
2015,DC,10,0.096774194
2015,DE,10,0.516129032
2015,FL,10,7.774193548
2015,GA,10,4.419354839
2015,HI,10,0.161290323
2015,IA,10,0.741935484
2015,ID,10,0.580645161
2015,IL,10,2.677419355
2015,IN,10,2.741935484
2015,KS,10,1.096774194
2015,KY,10,2.548387097
2015,LA,10,2.129032258
2015,MA,10,1
2015,MD,10,1.419354839
2015,ME,10,0.322580645
2015,MI,10,2.612903226
2015,MN,10,1.258064516
2015,MO,10,2.64516129
2015,MS,10,2.096774194
2015,MT,10,0.64516129
2015,NC,10,3.225806452
2015,ND,10,0.258064516
2015,NE,10,0.64516129
2015,NH,10,0.290322581
2015,NJ,10,1.35483871
2015,NM,10,0.741935484
2015,NV,10,1
2015,NY,10,3.483870968
2015,OH,10,3.225806452
2015,OK,10,1.483870968
2015,OR,10,0.741935484
2015,PA,10,3.258064516
2015,RI,10,0.064516129
2015,SC,10,3.548387097
2015,SD,10,0.225806452
2015,TN,10,2.612903226
2015,TX,10,10.29032258
2015,UT,10,0.741935484
2015,VA,10,1.903225806
2015,VT,10,0.161290323
2015,WA,10,1.322580645
2015,WI,10,1.419354839
2015,WV,10,0.838709677
2015,WY,10,0.322580645
2016,AK,10,0.225806452
2016,AL,10,3.548387097
2016,AR,10,1.516129032
2016,AZ,10,2.129032258
2016,CA,10,10.35483871
2016,CO,10,1.774193548
2016,CT,10,0.903225806
2016,DC,10,0.129032258
2016,DE,10,0.35483871
2016,FL,10,8.419354839
2016,GA,10,4.064516129
2016,HI,10,0.35483871
2016,IA,10,1.161290323
2016,ID,10,0.774193548
2016,IL,10,3.387096774
2016,IN,10,2.322580645
2016,KS,10,0.903225806
2016,KY,10,2.580645161
2016,LA,10,2.096774194
2016,MA,10,1.322580645
2016,MD,10,1.387096774
2016,ME,10,0.451612903
2016,MI,10,3.193548387
2016,MN,10,1.258064516
2016,MO,10,2.677419355
2016,MS,10,2.161290323
2016,MT,10,0.35483871
2016,NC,10,4.709677419
2016,ND,10,0.35483871
2016,NE,10,0.451612903
2016,NH,10,0.419354839
2016,NJ,10,1.838709677
2016,NM,10,1.161290323
2016,NV,10,1.064516129
2016,NY,10,2.806451613
2016,OH,10,3.35483871
2016,OK,10,1.677419355
2016,OR,10,0.935483871
2016,PA,10,3.419354839
2016,RI,10,0.096774194
2016,SC,10,2.677419355
2016,SD,10,0.516129032
2016,TN,10,3.129032258
2016,TX,10,11.03225806
2016,UT,10,0.870967742
2016,VA,10,2.129032258
2016,VT,10,0.096774194
2016,WA,10,1.161290323
2016,WI,10,1.35483871
2016,WV,10,0.741935484
2016,WY,10,0.225806452
2017,AK,10,0.225806452
2017,AL,10,2.35483871
2017,AR,10,1.322580645
2017,AZ,10,2.741935484
2017,CA,10,8.774193548
2017,CO,10,1.516129032
2017,CT,10,0.451612903
2017,DC,10,0.129032258
2017,DE,10,0.322580645
2017,FL,10,7.129032258
2017,GA,10,4.064516129
2017,HI,10,0.258064516
2017,IA,10,0.935483871
2017,ID,10,0.709677419
2017,IL,10,2.64516129
2017,IN,10,2.322580645
2017,KS,10,1.064516129
2017,KY,10,2.709677419
2017,LA,10,1.838709677
2017,MA,10,0.967741935
2017,MD,10,1.419354839
2017,ME,10,0.580645161
2017,MI,10,2.387096774
2017,MN,10,1.290322581
2017,MO,10,2.612903226
2017,MS,10,1.870967742
2017,MT,10,0.483870968
2017,NC,10,4.451612903
2017,ND,10,0.225806452
2017,NE,10,0.451612903
2017,NH,10,0.258064516
2017,NJ,10,2
2017,NM,10,1.290322581
2017,NV,10,0.774193548
2017,NY,10,2.548387097
2017,OH,10,3.451612903
2017,OK,10,1.548387097
2017,OR,10,1.322580645
2017,PA,10,3.612903226
2017,RI,10,0.322580645
2017,SC,10,2.903225806
2017,SD,10,0.419354839
2017,TN,10,2.677419355
2017,TX,10,10.09677419
2017,UT,10,0.580645161
2017,VA,10,2.322580645
2017,VT,10,0.193548387
2017,WA,10,1.483870968
2017,WI,10,1.64516129
2017,WV,10,1.032258065
2017,WY,10,0.096774194
2010,AK,11,0.166666667
2010,AL,11,2.4
2010,AR,11,1.5
2010,AZ,11,2.1
2010,CA,11,7.933333333
2010,CO,11,1.066666667
2010,CT,11,0.566666667
2010,DC,11,0.066666667
2010,DE,11,0.233333333
2010,FL,11,6.333333333
2010,GA,11,3.633333333
2010,HI,11,0.333333333
2010,IA,11,1.5
2010,ID,11,0.466666667
2010,IL,11,2.9
2010,IN,11,1.9
2010,KS,11,1.033333333
2010,KY,11,2.1
2010,LA,11,1.466666667
2010,MA,11,1.066666667
2010,MD,11,1.166666667
2010,ME,11,0.433333333
2010,MI,11,2.566666667
2010,MN,11,0.966666667
2010,MO,11,2.1
2010,MS,11,1.466666667
2010,MT,11,0.466666667
2010,NC,11,3.8
2010,ND,11,0.266666667
2010,NE,11,0.433333333
2010,NH,11,0.266666667
2010,NJ,11,1.266666667
2010,NM,11,0.7
2010,NV,11,0.533333333
2010,NY,11,3.466666667
2010,OH,11,2.433333333
2010,OK,11,1.633333333
2010,OR,11,0.966666667
2010,PA,11,3.4
2010,RI,11,0.133333333
2010,SC,11,2.033333333
2010,SD,11,0.433333333
2010,TN,11,2.333333333
2010,TX,11,7.833333333
2010,UT,11,0.5
2010,VA,11,2.066666667
2010,VT,11,0.266666667
2010,WA,11,1.1
2010,WI,11,1.333333333
2010,WV,11,0.566666667
2010,WY,11,0.533333333
2011,AK,11,0.1
2011,AL,11,1.766666667
2011,AR,11,0.966666667
2011,AZ,11,2.333333333
2011,CA,11,7.8
2011,CO,11,1
2011,CT,11,0.666666667
2011,DC,11,0
2011,DE,11,0.2
2011,FL,11,6.266666667
2011,GA,11,3.566666667
2011,HI,11,0.133333333
2011,IA,11,0.866666667
2011,ID,11,0.6
2011,IL,11,1.733333333
2011,IN,11,1.633333333
2011,KS,11,0.733333333
2011,KY,11,2.033333333
2011,LA,11,1.733333333
2011,MA,11,0.933333333
2011,MD,11,1.533333333
2011,ME,11,0.233333333
2011,MI,11,2.266666667
2011,MN,11,0.9
2011,MO,11,2.2
2011,MS,11,1.1
2011,MT,11,0.5
2011,NC,11,3.366666667
2011,ND,11,0.666666667
2011,NE,11,0.4
2011,NH,11,0.233333333
2011,NJ,11,1.733333333
2011,NM,11,0.866666667
2011,NV,11,0.633333333
2011,NY,11,3.6
2011,OH,11,3.366666667
2011,OK,11,1.733333333
2011,OR,11,1.166666667
2011,PA,11,3.433333333
2011,RI,11,0.266666667
2011,SC,11,2
2011,SD,11,0.333333333
2011,TN,11,2.233333333
2011,TX,11,7.066666667
2011,UT,11,0.5
2011,VA,11,1.8
2011,VT,11,0.1
2011,WA,11,1.1
2011,WI,11,1.466666667
2011,WV,11,0.833333333
2011,WY,11,0.433333333
2012,AK,11,0.166666667
2012,AL,11,1.666666667
2012,AR,11,1.6
2012,AZ,11,1.7
2012,CA,11,8.6
2012,CO,11,1.266666667
2012,CT,11,0.8
2012,DC,11,0
2012,DE,11,0.366666667
2012,FL,11,6.033333333
2012,GA,11,3.766666667
2012,HI,11,0.166666667
2012,IA,11,1.133333333
2012,ID,11,0.5
2012,IL,11,2.366666667
2012,IN,11,1.666666667
2012,KS,11,0.733333333
2012,KY,11,1.9
2012,LA,11,2.266666667
2012,MA,11,1.1
2012,MD,11,1.266666667
2012,ME,11,0.7
2012,MI,11,2.133333333
2012,MN,11,0.766666667
2012,MO,11,2.2
2012,MS,11,1.533333333
2012,MT,11,0.366666667
2012,NC,11,3.5
2012,ND,11,0.533333333
2012,NE,11,0.4
2012,NH,11,0.233333333
2012,NJ,11,1.733333333
2012,NM,11,0.7
2012,NV,11,0.6
2012,NY,11,2.866666667
2012,OH,11,2.433333333
2012,OK,11,1.666666667
2012,OR,11,1.133333333
2012,PA,11,3.5
2012,RI,11,0.066666667
2012,SC,11,2.5
2012,SD,11,0.166666667
2012,TN,11,2.8
2012,TX,11,9.1
2012,UT,11,0.7
2012,VA,11,2.133333333
2012,VT,11,0.166666667
2012,WA,11,0.833333333
2012,WI,11,1.1
2012,WV,11,0.8
2012,WY,11,0.3
2013,AK,11,0.033333333
2013,AL,11,2.366666667
2013,AR,11,1.3
2013,AZ,11,2
2013,CA,11,8.566666667
2013,CO,11,0.933333333
2013,CT,11,0.766666667
2013,DC,11,0.066666667
2013,DE,11,0.3
2013,FL,11,7.1
2013,GA,11,3.233333333
2013,HI,11,0.266666667
2013,IA,11,0.833333333
2013,ID,11,0.566666667
2013,IL,11,2.066666667
2013,IN,11,2.066666667
2013,KS,11,0.9
2013,KY,11,1.533333333
2013,LA,11,2.066666667
2013,MA,11,1.366666667
2013,MD,11,1.266666667
2013,ME,11,0.433333333
2013,MI,11,2.9
2013,MN,11,1.233333333
2013,MO,11,1.933333333
2013,MS,11,1.566666667
2013,MT,11,0.466666667
2013,NC,11,3.233333333
2013,ND,11,0.633333333
2013,NE,11,0.366666667
2013,NH,11,0.433333333
2013,NJ,11,1.666666667
2013,NM,11,0.9
2013,NV,11,0.8
2013,NY,11,2.933333333
2013,OH,11,2.266666667
2013,OK,11,1.666666667
2013,OR,11,0.733333333
2013,PA,11,3.133333333
2013,RI,11,0.233333333
2013,SC,11,1.9
2013,SD,11,0.5
2013,TN,11,2.066666667
2013,TX,11,8.733333333
2013,UT,11,0.733333333
2013,VA,11,2.2
2013,VT,11,0.233333333
2013,WA,11,1.066666667
2013,WI,11,1.666666667
2013,WV,11,0.766666667
2013,WY,11,0.166666667
2014,AK,11,0.2
2014,AL,11,2.166666667
2014,AR,11,1.4
2014,AZ,11,2.2
