Year,State,Month,Total_sales
2013,MI,10,264924.3870967742
2013,MN,10,172625.83870967742
2013,MO,10,198506.03225806452
2013,MS,10,132005.2258064516
2013,MT,10,35548.83870967742
2013,NC,10,316966.29032258067
2013,ND,10,39506.6129032258
2013,NE,10,75223.64516129032
2013,NH,10,26456.322580645163
2013,NJ,10,182987.5806451613
2013,NM,10,57846.58064516129
2013,NV,10,80841.6129032258
2013,NY,10,369155.06451612903
2013,OH,10,375041.1935483871
2013,OK,10,145802.06451612903
2013,OR,10,123179.7741935484
2013,PA,10,360005.12903225806
2013,RI,10,19403
2013,SC,10,199287.48387096773
2013,SD,10,30013.483870967742
2013,TN,10,238237.61290322582
2013,TX,10,1030840.1612903225
2013,UT,10,74873
2013,VA,10,269675.22580645164
2013,VT,10,13988.290322580646
2013,WA,10,232531.29032258064
2013,WI,10,177968.90322580645
2013,WV,10,77638.32258064517
2013,WY,10,44454.83870967742
2014,AK,10,16267.387096774193
2014,AL,10,224763.38709677418
2014,AR,10,121383.96774193548
2014,AZ,10,200408.51612903227
2014,CA,10,780778.6774193548
2014,CO,10,138995.32258064515
2014,CT,10,68008.16129032258
2014,DC,10,28149.25806451613
2014,DE,10,27491.09677419355
2014,FL,10,613991.9032258064
2014,GA,10,336259.4193548387
2014,HI,10,27690.58064516129
2014,IA,10,118614.87096774194
2014,ID,10,53100.54838709677
2014,IL,10,342293.12903225806
2014,IN,10,263951.70967741933
2014,KS,10,96507.16129032258
2014,KY,10,190444.8064516129
2014,LA,10,244089.12903225806
2014,MA,10,135689.67741935485
2014,MD,10,138920.29032258064
2014,ME,10,31616
2014,MI,10,260870.4516129032
2014,MN,10,172827.8064516129
2014,MO,10,191108.96774193548
2014,MS,10,130585.67741935483
2014,MT,10,34952.06451612903
2014,NC,10,316022.4516129032
2014,ND,10,47327
2014,NE,10,72576.93548387097
2014,NH,10,26793.290322580644
2014,NJ,10,180237.29032258064
2014,NM,10,58935.77419354839
2014,NV,10,87170.45161290323
2014,NY,10,367840.51612903224
2014,OH,10,374131.0967741936
2014,OK,10,154434.5806451613
2014,OR,10,116870.80645161291
2014,PA,10,355311.5806451613
2014,RI,10,19507.129032258064
2014,SC,10,198047.32258064515
2014,SD,10,29950.967741935485
2014,TN,10,240754.67741935485
2014,TX,10,1050442.8387096773
2014,UT,10,74973.16129032258
2014,VA,10,264038.8064516129
2014,VT,10,13924.58064516129
2014,WA,10,229331.4193548387
2014,WI,10,176473.90322580645
2014,WV,10,80173.35483870968
2014,WY,10,45285.83870967742
2015,AK,10,16245.935483870968
2015,AL,10,216302.03225806452
2015,AR,10,119202.54838709677
2015,AZ,10,204733.8064516129
2015,CA,10,784816.9032258064
2015,CO,10,143939.96774193548
2015,CT,10,70151.45161290323
2015,DC,10,24928.032258064515
2015,DE,10,28289.451612903227
2015,FL,10,632217.6774193548
2015,GA,10,330789.67741935485
2015,HI,10,26819.870967741936
2015,IA,10,117769.12903225806
2015,ID,10,52188.709677419356
2015,IL,10,334598.1935483871
2015,IN,10,256332.09677419355
2015,KS,10,95891.67741935483
2015,KY,10,180393.29032258064
2015,LA,10,240539.51612903227
2015,MA,10,136632.64516129033
2015,MD,10,139221.90322580645
2015,ME,10,33015.45161290323
2015,MI,10,256287.93548387097
2015,MN,10,167356.48387096773
2015,MO,10,188776.5483870968
2015,MS,10,127497.32258064517
2015,MT,10,34629.1935483871
2015,NC,10,315086.2580645161
2015,ND,10,45626.51612903226
2015,NE,10,71937.3870967742
2015,NH,10,27613.90322580645
2015,NJ,10,177599.5483870968
2015,NM,10,61193.6129032258
2015,NV,10,93925.45161290323
2015,NY,10,376893.96774193546
2015,OH,10,362521.51612903224
2015,OK,10,146921.5483870968
2015,OR,10,118660.83870967742
2015,PA,10,355254.93548387097
2015,RI,10,18993.677419354837
2015,SC,10,196175.06451612903
2015,SD,10,29667.354838709678
2015,TN,10,235884.16129032258
2015,TX,10,1083221.4838709678
2015,UT,10,78033.87096774194
2015,VA,10,263864.4193548387
2015,VT,10,13884.516129032258
2015,WA,10,222535.12903225806
2015,WI,10,172759.25806451612
2015,WV,10,77699.2258064516
2015,WY,10,44651.51612903226
2016,AK,10,16331.193548387097
2016,AL,10,221640.25806451612
