Year,State,Month,Total_sales
2010,AK,10,-0.535146102079012
2010,AL,10,-1.0827214552055142
2010,AR,10,-0.5995978329095862
2010,AZ,10,-0.29492394641699937
2010,CA,10,0.3118313951171591
2010,CO,10,-0.6767161029441384
2010,CT,10,-1.168524029888098
2010,DC,10,-0.9848894262642971
2010,DE,10,-0.9334607436933849
2010,FL,10,-0.36517319818146643
2010,GA,10,-0.9889296320921351
2010,IA,10,-1.2353710089558905
2010,ID,10,-1.2666436287207117
2010,IL,10,-0.9964758078287271
2010,IN,10,-1.2465792980028483
2010,KS,10,-0.911546596986752
2010,KY,10,-1.456595548944534
2010,LA,10,-0.08297690998385805
2010,MA,10,-0.968068644495525
2010,MD,10,-1.3343939192576362
2010,ME,10,-0.02690754723198447
2010,MI,10,-0.949251009939121
2010,MN,10,-1.1824618428849927
2010,MO,10,-1.2411278163382742
2010,MS,10,-0.4867688822405493
2010,MT,10,-1.2730230875624624
2010,NC,10,-1.1506629416900762
2010,ND,10,-0.8294012436688472
2010,NE,10,-1.362055810836358
2010,NH,10,-0.7919551199114608
2010,NJ,10,-0.9193682072612714
2010,NM,10,-0.42250511792952433
2010,NV,10,-0.3360556094962345
2010,NY,10,-0.7431711736967013
2010,OH,10,-1.2381242285722358
2010,OK,10,-0.9263714970076553
2010,OR,10,-1.1582141632146745
2010,PA,10,-1.4579404445414847
2010,RI,10,-0.8990365417971721
2010,SC,10,-1.1290351810199364
2010,SD,10,-1.4006548182743495
2010,TN,10,-0.9450498221548194
2010,TX,10,-0.40332298686061235
2010,UT,10,-0.5636246352303257
2010,VA,10,-1.3110260989456426
2010,VT,10,-1.0190319923567481
2010,WA,10,-1.105580205060457
2010,WI,10,-1.008473073942209
2010,WV,10,-0.9293556034875292
2010,WY,10,-0.38979387447395
2011,AK,10,-0.5033295552024449
2011,AL,10,-1.1195882105114994
2011,AR,10,-0.7107918336258294
2011,AZ,10,-0.361977679332718
2011,CA,10,-0.08425560826502446
2011,CO,10,-0.7731682562962522
2011,CT,10,-1.1461776304826443
2011,DC,10,-0.8486523126596198
2011,DE,10,-0.9164392288037446
2011,FL,10,-0.24312563775815466
2011,GA,10,-0.9899147790076896
2011,IA,10,-1.2331577664611528
2011,ID,10,-1.1563199491701501
2011,IL,10,-1.0510507062058974
2011,IN,10,-1.0355054568847384
2011,KS,10,-0.914473566377265
2011,KY,10,-0.8694437464460552
2011,LA,10,-0.37806092278551656
2011,MA,10,-1.015506975255878
2011,MD,10,-1.2419390077031307
2011,ME,10,-1.1055187684879413
2011,MI,10,-0.9901549755977666
2011,MN,10,-1.198801122898122
2011,MO,10,-1.1193767924254643
2011,MS,10,-0.6560514443343101
2011,MT,10,-0.5606826270847726
2011,NC,10,-1.0775955851286942
2011,ND,10,-0.7508539205653432
2011,NE,10,-1.1815410310190781
2011,NH,10,-0.6530713571336533
2011,NJ,10,-0.9085283601537925
2011,NM,10,-0.7627547317420763
2011,NV,10,-0.4126463747849317
2011,NY,10,-0.7237712757241791
2011,OH,10,-1.1380820468905457
2011,OK,10,-0.7878416468339591
2011,OR,10,-1.2517585013529515
2011,PA,10,-1.1104081107867176
2011,RI,10,-0.8414665248780668
2011,SC,10,-1.010349972828066
2011,SD,10,-1.3535124296092735
2011,TN,10,-1.0987705441324938
2011,TX,10,-0.4104319222295467
2011,UT,10,-0.7382127708336946
2011,VA,10,-1.28513596457124
2011,VT,10,-1.054918735698701
2011,WA,10,-1.1426318215651734
2011,WI,10,-1.1103684025625602
2011,WV,10,-1.081036572345887
2011,WY,10,-1.198133621450166
